Culture,k,n_total,n_honest,n_manip,manip_pct,trials,Target,Rule,Change_Rate,Success_Rate,Avg_Overlap
Mallows (phi=0.7),2,100,99,1,1,1000,Cutoff,Evaluative Voting,5.5,5.5,0.9725
Mallows (phi=0.7),2,100,99,1,1,1000,Cutoff,k-Median Rule,0.8999999999999999,0.8999999999999999,0.9955
Mallows (phi=0.7),2,100,99,1,1,1000,Cutoff,k-Median-Shapley,2.3,2.3,0.9885
Mallows (phi=0.7),2,100,99,1,1,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,99,1,1,1000,Bottom,k-Median Rule,0.8999999999999999,0.0,0.9955
Mallows (phi=0.7),2,100,99,1,1,1000,Bottom,k-Median-Shapley,2.1999999999999997,0.0,0.989
Mallows (phi=0.7),3,100,99,1,1,1000,Cutoff,Evaluative Voting,5.7,5.7,0.9809999999999993
Mallows (phi=0.7),3,100,99,1,1,1000,Cutoff,k-Median Rule,1.0,1.0,0.9966666666666665
Mallows (phi=0.7),3,100,99,1,1,1000,Cutoff,k-Median-Shapley,3.3000000000000003,3.3000000000000003,0.9889999999999995
Mallows (phi=0.7),3,100,99,1,1,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,99,1,1,1000,Bottom,k-Median Rule,0.8999999999999999,0.0,0.9969999999999999
Mallows (phi=0.7),3,100,99,1,1,1000,Bottom,k-Median-Shapley,2.7,0.0,0.9909999999999997
Mallows (phi=0.7),4,100,99,1,1,1000,Cutoff,Evaluative Voting,4.6,4.6,0.9885
Mallows (phi=0.7),4,100,99,1,1,1000,Cutoff,k-Median Rule,1.0999999999999999,1.0999999999999999,0.99725
Mallows (phi=0.7),4,100,99,1,1,1000,Cutoff,k-Median-Shapley,3.0,3.0,0.9925
Mallows (phi=0.7),4,100,99,1,1,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),4,100,99,1,1,1000,Bottom,k-Median Rule,0.8999999999999999,0.0,0.99775
Mallows (phi=0.7),4,100,99,1,1,1000,Bottom,k-Median-Shapley,2.6,0.0,0.9935
Mallows (phi=0.7),5,100,99,1,1,1000,Cutoff,Evaluative Voting,6.2,6.2,0.9875999999999988
Mallows (phi=0.7),5,100,99,1,1,1000,Cutoff,k-Median Rule,0.3,0.3,0.9994
Mallows (phi=0.7),5,100,99,1,1,1000,Cutoff,k-Median-Shapley,3.4000000000000004,3.4000000000000004,0.9931999999999994
Mallows (phi=0.7),5,100,99,1,1,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),5,100,99,1,1,1000,Bottom,k-Median Rule,0.3,0.0,0.9994
Mallows (phi=0.7),5,100,99,1,1,1000,Bottom,k-Median-Shapley,2.6,0.0,0.9947999999999995
Mallows (phi=0.7),6,100,99,1,1,1000,Cutoff,Evaluative Voting,8.5,8.5,0.9858333333333348
Mallows (phi=0.7),6,100,99,1,1,1000,Cutoff,k-Median Rule,1.5,1.5,0.9975000000000003
Mallows (phi=0.7),6,100,99,1,1,1000,Cutoff,k-Median-Shapley,3.5999999999999996,3.5999999999999996,0.9940000000000007
Mallows (phi=0.7),6,100,99,1,1,1000,Bottom,Evaluative Voting,8.5,8.5,0.9858333333333348
Mallows (phi=0.7),6,100,99,1,1,1000,Bottom,k-Median Rule,1.5,1.5,0.9975000000000003
Mallows (phi=0.7),6,100,99,1,1,1000,Bottom,k-Median-Shapley,3.5999999999999996,3.5999999999999996,0.9940000000000007
Mallows (phi=0.7),2,100,98,2,2,1000,Cutoff,Evaluative Voting,11.0,11.0,0.945
Mallows (phi=0.7),2,100,98,2,2,1000,Cutoff,k-Median Rule,1.5,1.5,0.9925
Mallows (phi=0.7),2,100,98,2,2,1000,Cutoff,k-Median-Shapley,3.9,3.9,0.9805
Mallows (phi=0.7),2,100,98,2,2,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,98,2,2,1000,Bottom,k-Median Rule,1.2,0.0,0.994
Mallows (phi=0.7),2,100,98,2,2,1000,Bottom,k-Median-Shapley,2.9000000000000004,0.0,0.9855
Mallows (phi=0.7),3,100,98,2,2,1000,Cutoff,Evaluative Voting,10.2,10.2,0.9659999999999986
Mallows (phi=0.7),3,100,98,2,2,1000,Cutoff,k-Median Rule,2.7,2.7,0.9909999999999993
Mallows (phi=0.7),3,100,98,2,2,1000,Cutoff,k-Median-Shapley,5.1,5.0,0.9829999999999995
Mallows (phi=0.7),3,100,98,2,2,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,98,2,2,1000,Bottom,k-Median Rule,1.0999999999999999,0.0,0.9963333333333332
Mallows (phi=0.7),3,100,98,2,2,1000,Bottom,k-Median-Shapley,3.1,0.0,0.9896666666666664
Mallows (phi=0.7),4,100,98,2,2,1000,Cutoff,Evaluative Voting,9.6,9.6,0.976
Mallows (phi=0.7),4,100,98,2,2,1000,Cutoff,k-Median Rule,2.4,2.4,0.994
Mallows (phi=0.7),4,100,98,2,2,1000,Cutoff,k-Median-Shapley,4.8,4.8,0.988
Mallows (phi=0.7),4,100,98,2,2,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),4,100,98,2,2,1000,Bottom,k-Median Rule,1.0,0.0,0.9975
Mallows (phi=0.7),4,100,98,2,2,1000,Bottom,k-Median-Shapley,2.6,0.0,0.9935
Mallows (phi=0.7),5,100,98,2,2,1000,Cutoff,Evaluative Voting,11.799999999999999,11.799999999999999,0.9763999999999976
Mallows (phi=0.7),5,100,98,2,2,1000,Cutoff,k-Median Rule,0.8,0.8,0.9983999999999998
Mallows (phi=0.7),5,100,98,2,2,1000,Cutoff,k-Median-Shapley,4.9,4.9,0.9901999999999994
Mallows (phi=0.7),5,100,98,2,2,1000,Bottom,Evaluative Voting,0.1,0.1,0.9997999999999999
Mallows (phi=0.7),5,100,98,2,2,1000,Bottom,k-Median Rule,0.5,0.1,0.999
Mallows (phi=0.7),5,100,98,2,2,1000,Bottom,k-Median-Shapley,2.5,0.0,0.9949999999999998
Mallows (phi=0.7),6,100,98,2,2,1000,Cutoff,Evaluative Voting,16.5,16.5,0.9725000000000025
Mallows (phi=0.7),6,100,98,2,2,1000,Cutoff,k-Median Rule,3.2,3.2,0.9946666666666671
Mallows (phi=0.7),6,100,98,2,2,1000,Cutoff,k-Median-Shapley,7.7,7.7,0.9871666666666679
Mallows (phi=0.7),6,100,98,2,2,1000,Bottom,Evaluative Voting,16.5,16.5,0.9725000000000025
Mallows (phi=0.7),6,100,98,2,2,1000,Bottom,k-Median Rule,3.2,3.2,0.9946666666666671
Mallows (phi=0.7),6,100,98,2,2,1000,Bottom,k-Median-Shapley,7.7,7.7,0.9871666666666679
Mallows (phi=0.7),2,100,97,3,3,1000,Cutoff,Evaluative Voting,16.8,16.8,0.916
Mallows (phi=0.7),2,100,97,3,3,1000,Cutoff,k-Median Rule,2.4,2.4,0.988
Mallows (phi=0.7),2,100,97,3,3,1000,Cutoff,k-Median-Shapley,4.8,4.7,0.976
Mallows (phi=0.7),2,100,97,3,3,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,97,3,3,1000,Bottom,k-Median Rule,1.7000000000000002,0.0,0.9915
Mallows (phi=0.7),2,100,97,3,3,1000,Bottom,k-Median-Shapley,2.8000000000000003,0.0,0.986
Mallows (phi=0.7),3,100,97,3,3,1000,Cutoff,Evaluative Voting,17.1,17.1,0.9429999999999976
Mallows (phi=0.7),3,100,97,3,3,1000,Cutoff,k-Median Rule,3.9,3.9,0.9869999999999991
Mallows (phi=0.7),3,100,97,3,3,1000,Cutoff,k-Median-Shapley,6.3,6.2,0.9789999999999992
Mallows (phi=0.7),3,100,97,3,3,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,97,3,3,1000,Bottom,k-Median Rule,1.7999999999999998,0.0,0.9939999999999996
Mallows (phi=0.7),3,100,97,3,3,1000,Bottom,k-Median-Shapley,3.5000000000000004,0.0,0.988333333333333
Mallows (phi=0.7),4,100,97,3,3,1000,Cutoff,Evaluative Voting,15.299999999999999,15.299999999999999,0.96175
Mallows (phi=0.7),4,100,97,3,3,1000,Cutoff,k-Median Rule,4.3,4.3,0.98925
Mallows (phi=0.7),4,100,97,3,3,1000,Cutoff,k-Median-Shapley,6.2,6.2,0.9845
Mallows (phi=0.7),4,100,97,3,3,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),4,100,97,3,3,1000,Bottom,k-Median Rule,2.4,0.0,0.994
Mallows (phi=0.7),4,100,97,3,3,1000,Bottom,k-Median-Shapley,3.6999999999999997,0.0,0.99075
Mallows (phi=0.7),5,100,97,3,3,1000,Cutoff,Evaluative Voting,20.200000000000003,20.200000000000003,0.9595999999999965
Mallows (phi=0.7),5,100,97,3,3,1000,Cutoff,k-Median Rule,1.2,1.2,0.9975999999999999
Mallows (phi=0.7),5,100,97,3,3,1000,Cutoff,k-Median-Shapley,7.8,7.8,0.9843999999999986
Mallows (phi=0.7),5,100,97,3,3,1000,Bottom,Evaluative Voting,0.7000000000000001,0.7000000000000001,0.9985999999999999
Mallows (phi=0.7),5,100,97,3,3,1000,Bottom,k-Median Rule,0.8,0.0,0.9983999999999998
Mallows (phi=0.7),5,100,97,3,3,1000,Bottom,k-Median-Shapley,4.3,0.1,0.9913999999999994
Mallows (phi=0.7),6,100,97,3,3,1000,Cutoff,Evaluative Voting,25.4,25.4,0.9576666666666701
Mallows (phi=0.7),6,100,97,3,3,1000,Cutoff,k-Median Rule,5.2,5.2,0.9913333333333343
Mallows (phi=0.7),6,100,97,3,3,1000,Cutoff,k-Median-Shapley,11.0,11.0,0.9816666666666687
Mallows (phi=0.7),6,100,97,3,3,1000,Bottom,Evaluative Voting,25.4,25.4,0.9576666666666701
Mallows (phi=0.7),6,100,97,3,3,1000,Bottom,k-Median Rule,5.2,5.2,0.9913333333333343
Mallows (phi=0.7),6,100,97,3,3,1000,Bottom,k-Median-Shapley,11.0,11.0,0.9816666666666687
Mallows (phi=0.7),2,100,96,4,4,1000,Cutoff,Evaluative Voting,24.4,24.4,0.878
Mallows (phi=0.7),2,100,96,4,4,1000,Cutoff,k-Median Rule,2.8000000000000003,2.8000000000000003,0.986
Mallows (phi=0.7),2,100,96,4,4,1000,Cutoff,k-Median-Shapley,6.7,6.7,0.9665
Mallows (phi=0.7),2,100,96,4,4,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,96,4,4,1000,Bottom,k-Median Rule,1.5,0.0,0.9925
Mallows (phi=0.7),2,100,96,4,4,1000,Bottom,k-Median-Shapley,4.2,0.0,0.979
Mallows (phi=0.7),3,100,96,4,4,1000,Cutoff,Evaluative Voting,23.799999999999997,23.799999999999997,0.9206666666666633
Mallows (phi=0.7),3,100,96,4,4,1000,Cutoff,k-Median Rule,6.0,6.0,0.9799999999999986
Mallows (phi=0.7),3,100,96,4,4,1000,Cutoff,k-Median-Shapley,7.6,7.6,0.9746666666666655
Mallows (phi=0.7),3,100,96,4,4,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,96,4,4,1000,Bottom,k-Median Rule,1.9,0.0,0.9936666666666663
Mallows (phi=0.7),3,100,96,4,4,1000,Bottom,k-Median-Shapley,4.1000000000000005,0.0,0.9863333333333328
Mallows (phi=0.7),4,100,96,4,4,1000,Cutoff,Evaluative Voting,21.9,21.9,0.94525
Mallows (phi=0.7),4,100,96,4,4,1000,Cutoff,k-Median Rule,5.800000000000001,5.800000000000001,0.9855
Mallows (phi=0.7),4,100,96,4,4,1000,Cutoff,k-Median-Shapley,6.800000000000001,6.800000000000001,0.983
Mallows (phi=0.7),4,100,96,4,4,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),4,100,96,4,4,1000,Bottom,k-Median Rule,2.7,0.0,0.99325
Mallows (phi=0.7),4,100,96,4,4,1000,Bottom,k-Median-Shapley,2.7,0.0,0.99325
Mallows (phi=0.7),5,100,96,4,4,1000,Cutoff,Evaluative Voting,28.1,28.1,0.9437999999999955
Mallows (phi=0.7),5,100,96,4,4,1000,Cutoff,k-Median Rule,1.7000000000000002,1.7000000000000002,0.9965999999999997
Mallows (phi=0.7),5,100,96,4,4,1000,Cutoff,k-Median-Shapley,9.2,9.2,0.9815999999999986
Mallows (phi=0.7),5,100,96,4,4,1000,Bottom,Evaluative Voting,1.7999999999999998,1.7999999999999998,0.9963999999999996
Mallows (phi=0.7),5,100,96,4,4,1000,Bottom,k-Median Rule,0.6,0.1,0.9987999999999999
Mallows (phi=0.7),5,100,96,4,4,1000,Bottom,k-Median-Shapley,4.6,0.2,0.9907999999999995
Mallows (phi=0.7),6,100,96,4,4,1000,Cutoff,Evaluative Voting,34.4,34.4,0.9426666666666709
Mallows (phi=0.7),6,100,96,4,4,1000,Cutoff,k-Median Rule,6.800000000000001,6.800000000000001,0.9886666666666678
Mallows (phi=0.7),6,100,96,4,4,1000,Cutoff,k-Median-Shapley,14.6,14.6,0.9756666666666692
Mallows (phi=0.7),6,100,96,4,4,1000,Bottom,Evaluative Voting,34.4,34.4,0.9426666666666709
Mallows (phi=0.7),6,100,96,4,4,1000,Bottom,k-Median Rule,6.800000000000001,6.800000000000001,0.9886666666666678
Mallows (phi=0.7),6,100,96,4,4,1000,Bottom,k-Median-Shapley,14.6,14.6,0.9756666666666692
Mallows (phi=0.7),2,100,95,5,5,1000,Cutoff,Evaluative Voting,33.300000000000004,33.300000000000004,0.8335
Mallows (phi=0.7),2,100,95,5,5,1000,Cutoff,k-Median Rule,4.3,4.3,0.9785
Mallows (phi=0.7),2,100,95,5,5,1000,Cutoff,k-Median-Shapley,8.6,8.6,0.957
Mallows (phi=0.7),2,100,95,5,5,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,95,5,5,1000,Bottom,k-Median Rule,2.6,0.0,0.987
Mallows (phi=0.7),2,100,95,5,5,1000,Bottom,k-Median-Shapley,3.8,0.0,0.981
Mallows (phi=0.7),3,100,95,5,5,1000,Cutoff,Evaluative Voting,32.2,32.2,0.8926666666666623
Mallows (phi=0.7),3,100,95,5,5,1000,Cutoff,k-Median Rule,7.5,7.5,0.9749999999999985
Mallows (phi=0.7),3,100,95,5,5,1000,Cutoff,k-Median-Shapley,9.3,9.1,0.9689999999999985
Mallows (phi=0.7),3,100,95,5,5,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,95,5,5,1000,Bottom,k-Median Rule,2.7,0.0,0.9909999999999994
Mallows (phi=0.7),3,100,95,5,5,1000,Bottom,k-Median-Shapley,5.4,0.0,0.9819999999999992
Mallows (phi=0.7),4,100,95,5,5,1000,Cutoff,Evaluative Voting,28.9,28.9,0.92775
Mallows (phi=0.7),4,100,95,5,5,1000,Cutoff,k-Median Rule,8.1,8.1,0.97975
Mallows (phi=0.7),4,100,95,5,5,1000,Cutoff,k-Median-Shapley,9.5,9.5,0.97625
Mallows (phi=0.7),4,100,95,5,5,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),4,100,95,5,5,1000,Bottom,k-Median Rule,3.0,0.0,0.9925
Mallows (phi=0.7),4,100,95,5,5,1000,Bottom,k-Median-Shapley,4.2,0.0,0.9895
Mallows (phi=0.7),5,100,95,5,5,1000,Cutoff,Evaluative Voting,37.8,37.8,0.9243999999999942
Mallows (phi=0.7),5,100,95,5,5,1000,Cutoff,k-Median Rule,2.1999999999999997,2.1999999999999997,0.9955999999999997
Mallows (phi=0.7),5,100,95,5,5,1000,Cutoff,k-Median-Shapley,11.3,11.3,0.9773999999999983
Mallows (phi=0.7),5,100,95,5,5,1000,Bottom,Evaluative Voting,2.7,2.7,0.9945999999999997
Mallows (phi=0.7),5,100,95,5,5,1000,Bottom,k-Median Rule,0.6,0.1,0.9987999999999999
Mallows (phi=0.7),5,100,95,5,5,1000,Bottom,k-Median-Shapley,5.7,0.3,0.988599999999999
Mallows (phi=0.7),6,100,95,5,5,1000,Cutoff,Evaluative Voting,43.0,43.0,0.928333333333338
Mallows (phi=0.7),6,100,95,5,5,1000,Cutoff,k-Median Rule,10.4,10.4,0.9826666666666684
Mallows (phi=0.7),6,100,95,5,5,1000,Cutoff,k-Median-Shapley,18.2,18.2,0.9696666666666695
Mallows (phi=0.7),6,100,95,5,5,1000,Bottom,Evaluative Voting,43.0,43.0,0.928333333333338
Mallows (phi=0.7),6,100,95,5,5,1000,Bottom,k-Median Rule,10.4,10.4,0.9826666666666684
Mallows (phi=0.7),6,100,95,5,5,1000,Bottom,k-Median-Shapley,18.2,18.2,0.9696666666666695
Mallows (phi=0.7),2,100,94,6,6,1000,Cutoff,Evaluative Voting,40.300000000000004,40.300000000000004,0.7985
Mallows (phi=0.7),2,100,94,6,6,1000,Cutoff,k-Median Rule,6.0,6.0,0.97
Mallows (phi=0.7),2,100,94,6,6,1000,Cutoff,k-Median-Shapley,10.6,10.6,0.947
Mallows (phi=0.7),2,100,94,6,6,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,94,6,6,1000,Bottom,k-Median Rule,2.9000000000000004,0.0,0.9855
Mallows (phi=0.7),2,100,94,6,6,1000,Bottom,k-Median-Shapley,4.6,0.0,0.977
Mallows (phi=0.7),3,100,94,6,6,1000,Cutoff,Evaluative Voting,40.8,40.8,0.8639999999999947
Mallows (phi=0.7),3,100,94,6,6,1000,Cutoff,k-Median Rule,9.8,9.8,0.9673333333333315
Mallows (phi=0.7),3,100,94,6,6,1000,Cutoff,k-Median-Shapley,10.8,10.7,0.9639999999999985
Mallows (phi=0.7),3,100,94,6,6,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,94,6,6,1000,Bottom,k-Median Rule,2.1,0.0,0.9929999999999995
Mallows (phi=0.7),3,100,94,6,6,1000,Bottom,k-Median-Shapley,4.2,0.0,0.9859999999999993
Mallows (phi=0.7),4,100,94,6,6,1000,Cutoff,Evaluative Voting,36.199999999999996,36.199999999999996,0.9095
Mallows (phi=0.7),4,100,94,6,6,1000,Cutoff,k-Median Rule,10.8,10.8,0.973
