Culture,k,n_total,n_honest,n_manip,manip_pct,trials,Target,Rule,Change_Rate,Success_Rate,Avg_Overlap
Mallows (phi=0.7),2,100,99,1,1,1000,Cutoff,Evaluative Voting,4.5,4.5,0.9775
Mallows (phi=0.7),2,100,99,1,1,1000,Cutoff,k-Median Rule,0.2,0.2,0.999
Mallows (phi=0.7),2,100,99,1,1,1000,Cutoff,k-Median-Shapley,2.4,2.4,0.988
Mallows (phi=0.7),2,100,99,1,1,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,99,1,1,1000,Bottom,k-Median Rule,0.2,0.0,0.999
Mallows (phi=0.7),2,100,99,1,1,1000,Bottom,k-Median-Shapley,2.3,0.0,0.9885
Mallows (phi=0.7),3,100,99,1,1,1000,Cutoff,Evaluative Voting,3.9,3.9,0.9869999999999992
Mallows (phi=0.7),3,100,99,1,1,1000,Cutoff,k-Median Rule,0.5,0.5,0.9983333333333332
Mallows (phi=0.7),3,100,99,1,1,1000,Cutoff,k-Median-Shapley,2.5,2.5,0.9916666666666661
Mallows (phi=0.7),3,100,99,1,1,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),3,100,99,1,1,1000,Bottom,k-Median Rule,0.4,0.0,0.9986666666666665
Mallows (phi=0.7),3,100,99,1,1,1000,Bottom,k-Median-Shapley,1.7999999999999998,0.0,0.9939999999999996
Mallows (phi=0.7),4,100,99,1,1,1000,Cutoff,Evaluative Voting,4.6,4.6,0.9885
Mallows (phi=0.7),4,100,99,1,1,1000,Cutoff,k-Median Rule,0.2,0.2,0.9995
Mallows (phi=0.7),4,100,99,1,1,1000,Cutoff,k-Median-Shapley,1.7999999999999998,1.7999999999999998,0.9955
Mallows (phi=0.7),4,100,99,1,1,1000,Bottom,Evaluative Voting,4.6,4.6,0.9885
Mallows (phi=0.7),4,100,99,1,1,1000,Bottom,k-Median Rule,0.2,0.2,0.9995
Mallows (phi=0.7),4,100,99,1,1,1000,Bottom,k-Median-Shapley,1.7999999999999998,1.7999999999999998,0.9955
Mallows (phi=0.7),2,100,98,2,2,1000,Cutoff,Evaluative Voting,9.1,9.1,0.9545
Mallows (phi=0.7),2,100,98,2,2,1000,Cutoff,k-Median Rule,0.3,0.3,0.9985
Mallows (phi=0.7),2,100,98,2,2,1000,Cutoff,k-Median-Shapley,3.6999999999999997,3.5999999999999996,0.9815
Mallows (phi=0.7),2,100,98,2,2,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,98,2,2,1000,Bottom,k-Median Rule,0.1,0.0,0.9995
Mallows (phi=0.7),2,100,98,2,2,1000,Bottom,k-Median-Shapley,3.5000000000000004,0.0,0.9825
Mallows (phi=0.7),3,100,98,2,2,1000,Cutoff,Evaluative Voting,9.4,9.4,0.9686666666666651
Mallows (phi=0.7),3,100,98,2,2,1000,Cutoff,k-Median Rule,1.3,1.3,0.9956666666666664
