Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2D Euclidean,2,Evaluative Voting,1.0,1.0,0.994,0.985,0.974,0.95,0.92,0.888,0.852,0.808,0.764,0.723,0.681,0.643,0.604,0.572,0.55,0.532,0.519,0.509,0.505,0.503,0.501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2D Euclidean,2,k-Median Rule,0.952,0.946,0.906,0.905,0.86,0.85,0.818,0.803,0.775,0.762,0.724,0.705,0.676,0.669,0.64,0.627,0.602,0.593,0.566,0.558,0.538,0.526,0.496,0.49,0.472,0.458,0.447,0.436,0.426,0.42,0.416,0.406,0.406,0.406,0.406,0.408,0.414,0.414,0.416,0.422,0.422,0.428,0.426,0.424,0.412,0.41,0.398,0.392,0.386
2D Euclidean,2,k-Median-Shapley,0.918,0.914,0.872,0.877,0.844,0.85,0.83,0.829,0.826,0.808,0.801,0.802,0.788,0.783,0.766,0.764,0.747,0.75,0.738,0.73,0.719,0.71,0.7,0.698,0.68,0.672,0.653,0.648,0.636,0.634,0.607,0.604,0.59,0.573,0.566,0.556,0.538,0.522,0.509,0.49,0.466,0.451,0.434,0.426,0.418,0.398,0.387,0.384,0.364
2D Euclidean,3,Evaluative Voting,0.998,0.989,0.97,0.943,0.918,0.89,0.862,0.83,0.802,0.775,0.753,0.734,0.711,0.698,0.688,0.68,0.675,0.671,0.669,0.669,0.668,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
2D Euclidean,3,k-Median Rule,0.966,0.954,0.919,0.908,0.882,0.872,0.851,0.835,0.813,0.802,0.773,0.76,0.739,0.734,0.712,0.706,0.685,0.68,0.667,0.664,0.65,0.642,0.629,0.622,0.614,0.604,0.597,0.593,0.592,0.598,0.596,0.597,0.599,0.602,0.608,0.613,0.62,0.619,0.621,0.624,0.619,0.624,0.614,0.612,0.604,0.605,0.596,0.598,0.602
2D Euclidean,3,k-Median-Shapley,0.948,0.946,0.921,0.914,0.899,0.899,0.885,0.884,0.868,0.87,0.851,0.843,0.829,0.825,0.816,0.808,0.802,0.792,0.781,0.777,0.771,0.765,0.751,0.744,0.733,0.726,0.708,0.705,0.705,0.703,0.693,0.689,0.683,0.675,0.67,0.671,0.66,0.647,0.644,0.638,0.632,0.623,0.607,0.606,0.598,0.595,0.581,0.581,0.577
2D Euclidean,4,Evaluative Voting,0.963,0.93,0.901,0.876,0.852,0.832,0.815,0.797,0.784,0.775,0.766,0.762,0.758,0.755,0.753,0.752,0.751,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2D Euclidean,4,k-Median Rule,0.986,0.971,0.957,0.94,0.929,0.917,0.904,0.89,0.876,0.864,0.853,0.841,0.83,0.823,0.811,0.805,0.797,0.791,0.786,0.779,0.775,0.77,0.767,0.763,0.759,0.756,0.755,0.754,0.753,0.751,0.751,0.751,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2D Euclidean,4,k-Median-Shapley,0.968,0.968,0.95,0.946,0.936,0.932,0.92,0.917,0.912,0.907,0.899,0.889,0.879,0.876,0.865,0.858,0.85,0.847,0.838,0.833,0.829,0.82,0.818,0.812,0.807,0.804,0.798,0.793,0.792,0.788,0.784,0.783,0.782,0.78,0.775,0.771,0.768,0.766,0.763,0.761,0.76,0.758,0.754,0.753,0.751,0.752,0.751,0.751,0.751
Impartial Anonymous Culture (IAC),2,Evaluative Voting,1.0,1.0,0.999,0.999,0.993,0.99,0.982,0.978,0.964,0.946,0.928,0.905,0.874,0.854,0.83,0.805,0.78,0.748,0.718,0.684,0.655,0.636,0.615,0.592,0.571,0.548,0.542,0.529,0.522,0.514,0.507,0.503,0.501,0.501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
