Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2D Euclidean,2,Evaluative Voting,0.898,0.82,0.753,0.684,0.641,0.604,0.578,0.549,0.526,0.515,0.51,0.506,0.504,0.503,0.501,0.501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2D Euclidean,2,k-Median Rule,0.952,0.944,0.904,0.901,0.858,0.85,0.816,0.805,0.774,0.759,0.726,0.713,0.682,0.674,0.646,0.63,0.603,0.586,0.566,0.559,0.536,0.518,0.492,0.484,0.464,0.46,0.449,0.44,0.434,0.442,0.437,0.438,0.436,0.44,0.443,0.442,0.446,0.45,0.454,0.46,0.456,0.458,0.457,0.456,0.448,0.446,0.441,0.435,0.432
2D Euclidean,2,k-Median-Shapley,0.914,0.906,0.862,0.862,0.826,0.829,0.804,0.802,0.796,0.779,0.766,0.762,0.752,0.742,0.727,0.716,0.696,0.692,0.685,0.672,0.654,0.646,0.636,0.622,0.603,0.596,0.588,0.57,0.55,0.543,0.522,0.517,0.514,0.498,0.486,0.474,0.462,0.457,0.456,0.446,0.438,0.435,0.421,0.424,0.42,0.411,0.4,0.4,0.399
2D Euclidean,3,Evaluative Voting,0.942,0.885,0.833,0.791,0.761,0.736,0.717,0.706,0.695,0.684,0.678,0.674,0.671,0.668,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
2D Euclidean,3,k-Median Rule,0.966,0.948,0.917,0.902,0.882,0.872,0.846,0.834,0.811,0.799,0.777,0.767,0.75,0.742,0.722,0.712,0.697,0.692,0.68,0.676,0.665,0.659,0.648,0.645,0.636,0.637,0.635,0.635,0.631,0.633,0.63,0.63,0.635,0.636,0.638,0.641,0.642,0.647,0.648,0.65,0.648,0.647,0.645,0.642,0.633,0.633,0.628,0.63,0.634
2D Euclidean,3,k-Median-Shapley,0.946,0.938,0.909,0.896,0.876,0.874,0.858,0.857,0.839,0.833,0.813,0.8,0.793,0.784,0.775,0.768,0.764,0.758,0.75,0.746,0.744,0.737,0.726,0.722,0.712,0.704,0.697,0.696,0.685,0.688,0.684,0.683,0.68,0.665,0.663,0.657,0.655,0.649,0.644,0.639,0.63,0.625,0.621,0.612,0.609,0.608,0.604,0.599,0.601
2D Euclidean,4,Evaluative Voting,0.963,0.93,0.901,0.876,0.852,0.832,0.815,0.797,0.784,0.775,0.766,0.762,0.758,0.755,0.753,0.752,0.751,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2D Euclidean,4,k-Median Rule,0.986,0.971,0.957,0.94,0.929,0.917,0.904,0.89,0.876,0.864,0.853,0.841,0.83,0.823,0.811,0.805,0.797,0.791,0.786,0.779,0.775,0.77,0.767,0.763,0.759,0.756,0.755,0.754,0.753,0.751,0.751,0.751,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2D Euclidean,4,k-Median-Shapley,0.968,0.968,0.95,0.946,0.936,0.932,0.92,0.917,0.912,0.907,0.899,0.889,0.879,0.876,0.865,0.858,0.85,0.847,0.838,0.833,0.829,0.82,0.818,0.812,0.807,0.804,0.798,0.793,0.792,0.788,0.784,0.783,0.782,0.78,0.775,0.771,0.768,0.766,0.763,0.761,0.76,0.758,0.754,0.753,0.751,0.752,0.751,0.751,0.751
Impartial Anonymous Culture (IAC),2,Evaluative Voting,0.946,0.896,0.84,0.798,0.756,0.718,0.682,0.65,0.626,0.602,0.582,0.566,0.554,0.542,0.531,0.524,0.52,0.514,0.507,0.503,0.503,0.501,0.501,0.501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
