Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2D Euclidean,2,Evaluative Voting,0.0,0.1,1.3,3.0,5.3,10.1,16.0,22.5,29.7,38.4,47.3,55.4,63.8,71.4,79.1,85.5,90.0,93.7,96.2,98.2,99.0,99.3,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,2,k-Median Rule,9.5,10.8,18.2,18.5,26.9,28.6,34.0,37.1,41.9,44.7,50.9,53.4,57.9,59.5,63.6,65.6,68.8,69.9,73.3,75.0,77.5,78.4,81.4,81.9,84.8,86.6,87.7,88.8,91.3,92.5,93.5,95.1,95.9,96.1,97.4,97.7,97.9,98.6,99.0,99.1,99.4,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0
2D Euclidean,2,k-Median-Shapley,15.9,17.1,25.2,24.0,30.3,29.3,33.1,33.3,33.9,37.2,38.7,38.0,40.9,41.6,44.0,44.4,47.6,46.2,48.4,49.9,51.7,53.1,54.6,55.7,58.2,59.3,61.4,62.4,64.1,64.8,67.7,69.0,70.5,72.7,74.1,76.2,78.3,79.4,81.4,84.3,87.2,89.4,91.9,93.2,93.9,97.1,97.3,98.5,99.3
2D Euclidean,3,Evaluative Voting,0.6,3.3,9.0,17.0,24.7,32.9,41.5,51.0,59.4,67.4,74.2,79.8,86.8,90.7,93.6,96.0,97.5,98.6,99.3,99.4,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,3,k-Median Rule,10.0,13.7,23.7,27.1,34.0,36.9,42.0,46.7,51.8,55.1,61.3,64.6,69.0,71.1,75.5,77.0,80.2,81.8,83.3,85.4,87.2,88.8,90.1,92.0,93.5,95.7,96.4,96.9,97.6,98.1,98.4,98.8,99.4,99.4,99.5,99.5,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,3,k-Median-Shapley,15.5,16.1,23.5,25.4,29.7,29.7,33.7,34.1,38.8,37.9,43.0,44.7,47.7,48.5,51.1,53.0,54.5,56.6,59.5,59.7,61.5,62.8,65.5,68.4,71.0,72.6,74.7,75.4,75.5,76.0,78.2,79.8,80.5,82.6,84.2,84.5,85.7,88.5,89.5,91.6,93.2,94.4,96.1,96.5,97.8,98.2,99.5,99.4,99.7
2D Euclidean,4,Evaluative Voting,14.9,27.8,39.6,49.5,59.2,67.0,73.9,81.1,86.5,90.0,93.6,95.4,96.8,98.1,98.8,99.2,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,4,k-Median Rule,5.6,11.6,17.2,24.1,28.4,33.2,38.3,43.8,49.6,54.4,58.7,63.7,68.0,70.7,75.5,78.0,81.3,83.7,85.6,88.3,89.9,91.8,93.3,94.7,96.3,97.5,97.9,98.5,98.8,99.5,99.6,99.7,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,4,k-Median-Shapley,12.7,12.7,20.0,21.6,25.8,27.1,32.2,33.3,35.2,37.3,40.5,44.5,48.3,49.8,53.9,56.6,59.8,61.2,64.6,66.8,68.4,72.0,72.7,75.1,77.2,78.2,80.7,82.8,83.1,84.9,86.4,86.9,87.2,87.9,90.0,91.5,92.6,93.7,94.9,95.6,95.8,96.8,98.4,98.8,99.5,99.2,99.5,99.5,99.7
Impartial Anonymous Culture (IAC),2,Evaluative Voting,0.0,0.1,0.2,0.2,1.4,2.0,3.5,4.5,7.2,10.8,14.5,19.0,25.1,29.1,34.0,39.0,44.1,50.3,56.3,63.3,69.0,72.9,77.0,81.6,85.8,90.3,91.5,94.2,95.7,97.2,98.6,99.3,99.7,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Anonymous Culture (IAC),2,k-Median Rule,6.9,7.6,13.7,14.5,21.2,22.1,27.5,28.6,32.9,34.1,38.7,39.9,44.0,46.5,50.0,52.8,56.3,58.7,61.7,62.6,65.7,67.1,70.7,72.8,75.2,78.2,80.5,82.8,84.3,86.1,88.4,90.3,91.6,93.4,94.1,94.7,96.1,96.9,97.9,98.8,99.2,99.5,99.7,99.8,100.0,100.0,100.0,100.0,100.0
Impartial Anonymous Culture (IAC),2,k-Median-Shapley,11.0,10.9,14.2,14.2,18.0,18.7,20.0,21.8,24.1,24.9,24.3,25.5,27.5,26.2,29.8,30.5,31.7,33.5,34.2,34.7,37.0,40.1,43.6,45.7,46.6,48.4,51.6,54.2,56.8,60.9,64.5,67.8,70.6,73.4,78.0,81.1,84.4,85.0,87.7,91.6,93.9,95.9,96.8,98.2,98.9,99.6,99.6,99.9,100.0
Impartial Anonymous Culture (IAC),3,Evaluative Voting,0.2,1.8,3.6,6.0,8.9,12.2,17.4,23.8,29.1,35.7,41.2,46.6,52.8,58.5,64.2,68.4,73.5,77.3,81.7,85.5,88.5,90.8,93.3,95.5,96.8,97.6,98.4,99.0,99.4,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Anonymous Culture (IAC),3,k-Median Rule,6.7,9.8,16.0,17.4,22.8,25.4,31.4,35.1,38.5,41.4,46.0,46.8,51.6,55.3,59.7,62.4,65.6,68.2,71.5,73.4,76.3,79.2,82.6,84.8,87.1,89.3,90.3,91.5,92.4,93.6,94.9,95.6,96.2,97.4,98.2,98.5,98.8,98.8,99.4,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Anonymous Culture (IAC),3,k-Median-Shapley,8.1,9.5,13.8,13.0,17.2,18.3,21.0,23.7,24.2,26.7,27.4,31.1,32.6,35.7,35.6,38.5,40.1,42.1,46.0,47.9,50.5,53.0,55.5,58.0,61.8,63.3,66.1,68.2,70.7,73.8,76.5,80.0,82.5,85.0,88.0,90.0,92.6,94.2,95.9,96.4,97.6,98.4,98.6,99.1,99.6,99.6,99.8,99.9,100.0
Impartial Anonymous Culture (IAC),4,Evaluative Voting,9.1,16.9,24.3,32.1,38.2,44.7,51.5,58.6,63.4,68.5,72.9,77.3,81.0,83.9,88.2,90.7,92.3,93.6,94.5,96.4,97.7,98.6,99.0,99.4,99.6,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Anonymous Culture (IAC),4,k-Median Rule,4.9,10.1,15.3,19.7,25.0,29.4,34.3,38.5,41.5,46.6,50.2,53.9,57.7,60.9,63.7,66.4,68.5,71.5,74.9,77.0,79.9,82.2,84.8,86.7,89.8,91.3,92.7,94.3,95.4,96.1,96.8,97.6,97.9,98.6,99.2,99.5,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Anonymous Culture (IAC),4,k-Median-Shapley,7.9,11.3,15.4,17.8,21.3,24.0,27.2,29.9,32.3,34.5,37.2,41.7,44.1,46.5,48.0,50.6,53.9,56.6,60.4,62.8,65.6,69.0,71.7,74.0,76.9,80.7,82.7,83.8,86.4,87.5,89.4,91.1,92.7,94.2,95.0,96.3,97.1,98.4,98.5,98.9,98.9,99.5,99.8,99.9,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),2,Evaluative Voting,0.4,4.5,14.2,27.2,43.7,58.1,72.3,83.7,90.2,95.6,97.8,98.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),2,k-Median Rule,21.6,26.9,42.9,50.1,61.5,66.7,73.0,77.3,80.8,84.5,88.3,90.2,91.3,93.3,94.4,96.5,97.2,98.4,98.2,99.3,99.2,99.5,99.4,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),2,k-Median-Shapley,29.2,31.9,43.9,47.3,54.7,57.2,61.0,64.6,69.4,69.6,74.1,75.8,78.8,81.0,83.5,85.8,88.0,88.8,90.7,92.4,94.4,94.9,95.2,96.2,96.7,98.1,98.4,99.3,99.5,99.7,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),3,Evaluative Voting,5.0,19.1,37.3,56.0,70.9,83.5,91.3,94.7,97.1,98.8,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),3,k-Median Rule,21.9,29.3,46.1,53.1,63.6,68.3,75.2,78.5,82.8,86.3,89.9,90.6,92.2,94.0,96.0,97.4,98.3,99.0,99.3,99.6,99.7,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
