Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2D Euclidean,2,Evaluative Voting,0.0,0.1,1.3,3.0,5.3,10.1,16.0,22.5,29.7,38.4,47.3,55.4,63.8,71.4,79.1,85.5,90.0,93.7,96.2,98.2,99.0,99.3,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,2,k-Median Rule,0.0,2.5,2.1,5.9,6.8,10.4,11.2,15.5,17.3,21.5,24.3,29.5,32.6,36.4,39.9,43.4,45.9,49.1,52.3,55.8,59.1,62.9,66.6,69.6,72.4,75.3,77.7,79.9,82.9,85.8,86.8,88.9,91.1,92.0,93.4,94.4,95.3,96.3,97.2,98.1,98.8,99.4,99.7,99.8,99.9,100.0,100.0,100.0,100.0
2D Euclidean,2,k-Median-Shapley,0.4,0.7,0.9,1.1,1.5,1.8,2.8,3.3,4.3,5.6,6.7,7.2,8.3,9.0,11.2,13.1,15.4,16.4,18.1,20.0,21.5,24.3,25.4,28.3,31.0,31.3,32.4,33.7,36.3,37.8,41.1,43.2,45.3,48.6,53.5,54.2,58.5,62.0,65.3,69.7,74.6,79.1,83.2,86.2,88.7,92.0,94.4,95.9,97.9
2D Euclidean,3,Evaluative Voting,0.6,3.3,9.0,17.0,24.7,32.9,41.5,51.0,59.4,67.4,74.2,79.8,86.8,90.7,93.6,96.0,97.5,98.6,99.3,99.4,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,3,k-Median Rule,0.1,5.1,5.7,11.6,14.1,19.5,21.3,27.4,29.9,36.4,40.6,46.8,50.0,53.7,58.5,62.1,65.6,69.0,71.0,75.3,78.1,81.5,84.0,86.8,89.0,91.9,93.2,94.3,95.6,96.5,97.1,97.7,98.6,98.6,98.6,98.8,98.9,99.5,99.6,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,3,k-Median-Shapley,2.5,2.8,4.4,5.2,6.8,8.4,9.9,11.9,14.0,15.8,19.1,21.9,24.8,26.5,27.6,30.8,33.6,35.5,38.5,41.5,43.0,47.2,49.1,51.3,53.9,56.7,59.2,60.1,60.7,62.7,65.3,67.8,68.3,70.9,74.3,75.4,78.2,81.7,83.6,86.6,88.6,90.7,93.8,94.8,96.8,96.8,98.5,98.6,99.4
2D Euclidean,4,Evaluative Voting,14.9,27.8,39.6,49.5,59.2,67.0,73.9,81.1,86.5,90.0,93.6,95.4,96.8,98.1,98.8,99.2,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,4,k-Median Rule,5.6,11.6,17.2,24.1,28.4,33.2,38.3,43.8,49.6,54.4,58.7,63.7,68.0,70.7,75.5,78.0,81.3,83.7,85.6,88.3,89.9,91.8,93.3,94.7,96.3,97.5,97.9,98.5,98.8,99.5,99.6,99.7,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2D Euclidean,4,k-Median-Shapley,12.7,12.7,20.0,21.6,25.8,27.1,32.2,33.3,35.2,37.3,40.5,44.5,48.3,49.8,53.9,56.6,59.8,61.2,64.6,66.8,68.4,72.0,72.7,75.1,77.2,78.2,80.7,82.8,83.1,84.9,86.4,86.9,87.2,87.9,90.0,91.5,92.6,93.7,94.9,95.6,95.8,96.8,98.4,98.8,99.5,99.2,99.5,99.5,99.7
Impartial Anonymous Culture (IAC),2,Evaluative Voting,0.0,0.1,0.2,0.2,1.4,2.0,3.5,4.5,7.2,10.8,14.5,19.0,25.1,29.1,34.0,39.0,44.1,50.3,56.3,63.3,69.0,72.9,77.0,81.6,85.8,90.3,91.5,94.2,95.7,97.2,98.6,99.3,99.7,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
