Culture,k,Rule,tipping_pct_50,success_at_49pct
Mallows (phi=0.7),2,Evaluative Voting,20,100.0
Mallows (phi=0.7),2,k-Median Rule,29,100.0
Mallows (phi=0.7),2,k-Median-Shapley,38,100.0
Mallows (phi=0.7),3,Evaluative Voting,15,100.0
Mallows (phi=0.7),3,k-Median Rule,21,100.0
Mallows (phi=0.7),3,k-Median-Shapley,34,100.0
Mallows (phi=0.7),4,Evaluative Voting,8,100.0
Mallows (phi=0.7),4,k-Median Rule,19,100.0
Mallows (phi=0.7),4,k-Median-Shapley,21,100.0
Plackett-Luce,2,Evaluative Voting,25,100.0
Plackett-Luce,2,k-Median Rule,30,100.0
Plackett-Luce,2,k-Median-Shapley,41,99.0
Plackett-Luce,3,Evaluative Voting,20,100.0
Plackett-Luce,3,k-Median Rule,24,100.0
Plackett-Luce,3,k-Median-Shapley,37,99.5
Plackett-Luce,4,Evaluative Voting,11,100.0
Plackett-Luce,4,k-Median Rule,15,100.0
Plackett-Luce,4,k-Median-Shapley,28,99.9
2D Euclidean,2,Evaluative Voting,12,100.0
2D Euclidean,2,k-Median Rule,19,100.0
2D Euclidean,2,k-Median-Shapley,35,97.9
2D Euclidean,3,Evaluative Voting,8,100.0
2D Euclidean,3,k-Median Rule,13,100.0
2D Euclidean,3,k-Median-Shapley,24,99.4
2D Euclidean,4,Evaluative Voting,5,100.0
2D Euclidean,4,k-Median Rule,10,100.0
2D Euclidean,4,k-Median-Shapley,15,99.7
Impartial Anonymous Culture (IAC),2,Evaluative Voting,18,100.0
Impartial Anonymous Culture (IAC),2,k-Median Rule,24,100.0
Impartial Anonymous Culture (IAC),2,k-Median-Shapley,32,100.0
Impartial Anonymous Culture (IAC),3,Evaluative Voting,13,100.0
Impartial Anonymous Culture (IAC),3,k-Median Rule,19,100.0
Impartial Anonymous Culture (IAC),3,k-Median-Shapley,26,100.0
Impartial Anonymous Culture (IAC),4,Evaluative Voting,7,100.0
Impartial Anonymous Culture (IAC),4,k-Median Rule,11,100.0
Impartial Anonymous Culture (IAC),4,k-Median-Shapley,16,100.0
Polya Urn (alpha=0.2),2,Evaluative Voting,20,100.0
Polya Urn (alpha=0.2),2,k-Median Rule,25,99.9
Polya Urn (alpha=0.2),2,k-Median-Shapley,32,99.2
Polya Urn (alpha=0.2),3,Evaluative Voting,14,100.0
Polya Urn (alpha=0.2),3,k-Median Rule,19,100.0
Polya Urn (alpha=0.2),3,k-Median-Shapley,25,99.8
Polya Urn (alpha=0.2),4,Evaluative Voting,8,100.0
Polya Urn (alpha=0.2),4,k-Median Rule,12,100.0
Polya Urn (alpha=0.2),4,k-Median-Shapley,15,99.9
Impartial Culture (IC),2,Evaluative Voting,6,100.0
Impartial Culture (IC),2,k-Median Rule,9,100.0
Impartial Culture (IC),2,k-Median-Shapley,12,100.0
Impartial Culture (IC),3,Evaluative Voting,4,100.0
Impartial Culture (IC),3,k-Median Rule,7,100.0
Impartial Culture (IC),3,k-Median-Shapley,8,100.0
Impartial Culture (IC),4,Evaluative Voting,2,100.0
Impartial Culture (IC),4,k-Median Rule,5,100.0
Impartial Culture (IC),4,k-Median-Shapley,5,100.0
