Culture,k,n_total,n_honest,n_manip,trials,Target,Rule,Change_Rate,Avg_Overlap,Success_Rate
Mallows (phi=0.7),1,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.0,100.0
Mallows (phi=0.7),1,100,80,20,2000,Cutoff,k-Median Rule,67.55,0.3245,67.55
Mallows (phi=0.7),1,100,80,20,2000,Cutoff,k-Median-Shapley,52.65,0.4735,52.65
Mallows (phi=0.7),1,100,80,20,2000,Bottom,Evaluative Voting,8.9,0.911,8.9
Mallows (phi=0.7),1,100,80,20,2000,Bottom,k-Median Rule,2.8000000000000003,0.972,0.0
Mallows (phi=0.7),1,100,80,20,2000,Bottom,k-Median-Shapley,9.55,0.9045,0.0
Mallows (phi=0.7),2,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.5,100.0
Mallows (phi=0.7),2,100,80,20,2000,Cutoff,k-Median Rule,56.65,0.71675,56.65
Mallows (phi=0.7),2,100,80,20,2000,Cutoff,k-Median-Shapley,44.9,0.7755,44.85
Mallows (phi=0.7),2,100,80,20,2000,Bottom,Evaluative Voting,55.25,0.72375,55.25
Mallows (phi=0.7),2,100,80,20,2000,Bottom,k-Median Rule,6.75,0.96625,2.35
Mallows (phi=0.7),2,100,80,20,2000,Bottom,k-Median-Shapley,8.4,0.958,0.15
Mallows (phi=0.7),3,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.6666666666666725,100.0
Mallows (phi=0.7),3,100,80,20,2000,Cutoff,k-Median Rule,67.10000000000001,0.7763333333333431,67.10000000000001
Mallows (phi=0.7),3,100,80,20,2000,Cutoff,k-Median-Shapley,45.050000000000004,0.8498333333333423,45.050000000000004
Mallows (phi=0.7),3,100,80,20,2000,Bottom,Evaluative Voting,93.15,0.6895000000000078,93.15
Mallows (phi=0.7),3,100,80,20,2000,Bottom,k-Median Rule,44.2,0.8523333333333424,43.05
Mallows (phi=0.7),3,100,80,20,2000,Bottom,k-Median-Shapley,21.0,0.9300000000000047,14.7
Mallows (phi=0.7),4,100,80,20,2000,Cutoff,Evaluative Voting,99.75,0.750625,99.75
Mallows (phi=0.7),4,100,80,20,2000,Cutoff,k-Median Rule,58.5,0.85375,58.5
Mallows (phi=0.7),4,100,80,20,2000,Cutoff,k-Median-Shapley,50.849999999999994,0.872875,50.849999999999994
Mallows (phi=0.7),4,100,80,20,2000,Bottom,Evaluative Voting,99.75,0.750625,99.75
Mallows (phi=0.7),4,100,80,20,2000,Bottom,k-Median Rule,58.5,0.85375,58.5
Mallows (phi=0.7),4,100,80,20,2000,Bottom,k-Median-Shapley,50.849999999999994,0.872875,50.849999999999994
Plackett-Luce,1,100,80,20,2000,Cutoff,Evaluative Voting,97.65,0.0235,97.65
Plackett-Luce,1,100,80,20,2000,Cutoff,k-Median Rule,70.15,0.2985,70.15
Plackett-Luce,1,100,80,20,2000,Cutoff,k-Median-Shapley,47.349999999999994,0.5265,47.25
Plackett-Luce,1,100,80,20,2000,Bottom,Evaluative Voting,9.75,0.9025,9.75
