Culture,Rule,1,2,3,4
2D Euclidean,Evaluative Voting,0.014,0.502,0.667,0.75
2D Euclidean,k-Median Rule,0.382,0.592,0.711,0.798
2D Euclidean,k-Median-Shapley,0.585,0.74,0.826,0.873
Impartial Anonymous Culture (IAC),Evaluative Voting,0.703,0.68,0.71,0.758
Impartial Anonymous Culture (IAC),k-Median Rule,0.571,0.651,0.727,0.804
Impartial Anonymous Culture (IAC),k-Median-Shapley,0.778,0.809,0.832,0.838
Impartial Culture (IC),Evaluative Voting,0.0,0.5,0.667,0.75
Impartial Culture (IC),k-Median Rule,0.037,0.379,0.579,0.752
Impartial Culture (IC),k-Median-Shapley,0.213,0.446,0.616,0.754
Mallows (phi=0.7),Evaluative Voting,0.908,0.738,0.692,0.75
Mallows (phi=0.7),k-Median Rule,0.976,0.966,0.852,0.852
Mallows (phi=0.7),k-Median-Shapley,0.914,0.953,0.926,0.873
Plackett-Luce,Evaluative Voting,0.91,0.865,0.827,0.803
Plackett-Luce,k-Median Rule,0.676,0.753,0.796,0.845
Plackett-Luce,k-Median-Shapley,0.842,0.905,0.923,0.917
Polya Urn (alpha=0.2),Evaluative Voting,0.75,0.719,0.73,0.763
Polya Urn (alpha=0.2),k-Median Rule,0.527,0.644,0.731,0.808
Polya Urn (alpha=0.2),k-Median-Shapley,0.64,0.738,0.79,0.838
