Culture,Rule,1,2,3,4
2D Euclidean,Evaluative Voting,98.6,99.55,100.0,100.0
2D Euclidean,k-Median Rule,61.75,71.0,76.1,80.9
2D Euclidean,k-Median-Shapley,41.5,49.1,48.65,50.65
Impartial Anonymous Culture (IAC),Evaluative Voting,29.7,64.05,86.9,96.7
Impartial Anonymous Culture (IAC),k-Median Rule,42.9,63.25,72.2,78.2
Impartial Anonymous Culture (IAC),k-Median-Shapley,22.25,37.0,48.0,64.6
Impartial Culture (IC),Evaluative Voting,100.0,100.0,100.0,100.0
Impartial Culture (IC),k-Median Rule,96.3,98.7,99.25,99.3
Impartial Culture (IC),k-Median-Shapley,78.7,93.25,96.5,98.4
Mallows (phi=0.7),Evaluative Voting,9.15,52.35,92.5,99.85
Mallows (phi=0.7),k-Median Rule,2.45,6.85,44.2,59.15
Mallows (phi=0.7),k-Median-Shapley,8.6,9.45,22.3,50.85
Plackett-Luce,Evaluative Voting,9.05,27.05,51.8,78.7
Plackett-Luce,k-Median Rule,32.35,47.2,56.65,62.0
Plackett-Luce,k-Median-Shapley,15.8,18.95,23.1,33.25
Polya Urn (alpha=0.2),Evaluative Voting,25.05,56.2,81.0,94.7
Polya Urn (alpha=0.2),k-Median Rule,47.3,65.15,71.2,77.0
Polya Urn (alpha=0.2),k-Median-Shapley,35.95,48.45,56.45,64.65
