Culture,Rule,1,2,3,4
2D Euclidean,Evaluative Voting,98.6,99.55,100.0,100.0
2D Euclidean,k-Median Rule,32.55,42.75,56.05,80.9
2D Euclidean,k-Median-Shapley,4.4,9.45,22.1,50.65
Impartial Anonymous Culture (IAC),Evaluative Voting,29.7,64.05,86.9,96.7
Impartial Anonymous Culture (IAC),k-Median Rule,15.2,36.55,56.0,78.2
Impartial Anonymous Culture (IAC),k-Median-Shapley,2.75,15.1,34.0,64.6
Impartial Culture (IC),Evaluative Voting,100.0,100.0,100.0,100.0
Impartial Culture (IC),k-Median Rule,94.2,97.05,98.2,99.3
Impartial Culture (IC),k-Median-Shapley,68.85,87.3,95.0,98.4
Mallows (phi=0.7),Evaluative Voting,9.15,52.35,92.5,99.85
Mallows (phi=0.7),k-Median Rule,0.05,2.6,43.0,59.15
Mallows (phi=0.7),k-Median-Shapley,0.0,0.1,15.8,50.85
Plackett-Luce,Evaluative Voting,9.05,27.05,51.8,78.7
Plackett-Luce,k-Median Rule,5.95,18.4,40.95,62.0
Plackett-Luce,k-Median-Shapley,0.2,1.5,13.2,33.25
Polya Urn (alpha=0.2),Evaluative Voting,25.05,56.2,81.0,94.7
Polya Urn (alpha=0.2),k-Median Rule,17.85,36.3,53.9,77.0
Polya Urn (alpha=0.2),k-Median-Shapley,7.85,18.05,37.35,64.65
